InstructionDecimal,CyclesTaken,ClockStop,NextBlipCycles
0,941,0,0
1,3,0,2
2,3,0,2
4,944,0,0
5,3,0,2
6,3,0,2
8,940,0,0
9,3,0,2
10,3,0,2
12,942,0,0
13,3,0,2
14,3,0,2
16,944,0,0
17,3,0,2
18,3,0,2
20,944,0,0
21,3,0,2
22,3,0,2
24,939,0,0
25,3,0,2
26,3,0,2
28,940,0,0
29,3,0,2
30,3,0,2
32,3,0,2
33,3,0,2
34,3,0,2
36,3,0,2
37,3,0,2
38,3,0,2
40,938,0,0
41,3,0,2
42,3,0,2
44,939,0,0
45,3,0,2
46,3,0,2
48,3,0,2
49,3,0,2
50,3,0,2
52,3,0,2
53,3,0,2
54,3,0,2
56,3,0,2
57,3,0,2
58,3,0,2
60,3,0,2
61,3,0,2
62,3,0,2
64,3,0,2
65,3,0,2
66,3,0,2
68,3,0,2
69,3,0,2
70,3,0,2
72,941,0,0
73,3,0,2
74,3,0,2
76,938,0,0
77,3,0,2
78,3,0,2
80,3,0,0
81,3,0,2
82,3,0,2
84,3,0,2
85,3,0,2
86,3,0,2
88,3,0,2
89,3,0,2
90,3,0,2
92,3,0,2
93,3,0,2
94,3,0,2
96,3,0,2
97,3,0,2
98,3,0,2
100,3,0,2
101,3,0,2
102,3,0,2
104,943,0,0
105,3,0,2
106,3,0,2
108,938,0,0
109,3,0,2
110,3,0,2
112,3,0,0
113,3,0,2
114,3,0,2
116,3,0,2
117,3,0,2
118,3,0,2
120,3,0,2
121,3,0,2
122,3,0,2
124,3,0,2
125,3,0,2
126,3,0,2
128,3,0,2
129,3,0,2
130,3,0,2
132,3,0,2
133,3,0,2
134,3,0,2
136,943,0,0
137,3,0,2
138,3,0,2
140,944,0,0
141,3,0,2
142,3,0,2
144,3,0,2
145,3,0,2
146,3,0,2
148,3,0,2
149,3,0,2
150,3,0,2
152,3,0,2
153,3,0,2
154,3,0,2
156,3,0,2
157,3,0,2
158,3,0,2
160,3,0,2
161,3,0,2
162,3,0,2
164,3,0,2
165,3,0,2
166,3,0,2
168,945,0,0
169,3,0,2
170,3,0,2
172,943,0,0
173,3,0,2
174,3,0,2
176,3,0,2
177,3,0,2
178,3,0,2
180,3,0,2
181,3,0,2
182,3,0,2
184,3,0,2
185,3,0,2
186,3,0,2
188,3,0,2
189,3,0,2
190,3,0,2
192,3,0,2
193,3,0,2
194,3,0,2
196,3,0,2
197,3,0,2
198,3,0,2
200,944,0,0
201,3,0,2
202,3,0,2
204,939,0,0
205,3,0,2
206,3,0,2
208,3,0,0
209,3,0,2
210,3,0,2
212,3,0,2
213,3,0,2
214,3,0,2
216,3,0,2
217,3,0,2
218,3,0,2
220,3,0,2
221,3,0,2
222,3,0,2
224,3,0,2
225,3,0,2
226,3,0,2
228,3,0,2
229,3,0,2
230,3,0,2
232,945,0,0
233,3,0,2
234,3,0,2
236,939,0,0
237,3,0,2
238,3,0,2
240,3,0,0
241,3,0,2
242,3,0,2
244,3,0,2
245,3,0,2
246,3,0,2
248,3,0,2
249,3,0,2
250,3,0,2
252,3,0,2
253,3,0,2
254,3,0,2
256,3,0,2
257,3,0,2
258,3,0,2
260,3,0,2
261,3,0,2
262,3,0,2
264,939,0,0
265,3,0,2
266,3,0,2
268,942,0,0
269,3,0,2
270,3,0,2
272,3,0,2
273,3,0,2
274,3,0,2
276,3,0,2
277,3,0,2
278,3,0,2
280,3,0,2
281,3,0,2
282,3,0,2
284,3,0,2
285,3,0,2
286,3,0,2
288,3,0,2
289,3,0,2
290,3,0,2
292,3,0,2
293,3,0,2
294,3,0,2
296,937,0,0
297,3,0,2
298,3,0,2
300,939,0,0
301,3,0,2
302,3,0,2
304,3,0,2
305,3,0,2
306,3,0,2
308,3,0,2
309,3,0,2
310,3,0,2
312,3,0,2
313,3,0,2
314,3,0,2
316,3,0,2
317,3,0,2
318,3,0,2
320,3,0,2
321,3,0,2
322,3,0,2
324,3,0,2
325,3,0,2
326,3,0,2
328,941,0,0
329,3,0,2
330,3,0,2
332,943,0,0
333,3,0,2
334,3,0,2
336,3,0,0
337,3,0,2
338,3,0,2
340,3,0,2
341,3,0,2
342,3,0,2
344,3,0,2
345,3,0,2
346,3,0,2
348,3,0,2
349,3,0,2
350,3,0,2
352,3,0,2
353,3,0,2
354,3,0,2
356,3,0,2
357,3,0,2
358,3,0,2
360,942,0,0
361,3,0,2
362,3,0,2
364,940,0,0
365,3,0,2
366,3,0,2
368,3,0,0
369,3,0,2
370,3,0,2
372,3,0,2
373,3,0,2
374,3,0,2
376,3,0,2
377,3,0,2
378,3,0,2
380,3,0,2
381,3,0,2
382,3,0,2
384,3,0,2
385,3,0,2
386,3,0,2
388,3,0,2
389,3,0,2
390,3,0,2
392,943,0,0
393,3,0,2
394,3,0,2
396,945,0,0
397,3,0,2
398,3,0,2
400,3,0,2
401,3,0,2
402,3,0,2
404,3,0,2
405,3,0,2
406,3,0,2
408,3,0,2
409,3,0,2
410,3,0,2
412,3,0,2
413,3,0,2
414,3,0,2
416,3,0,2
417,3,0,2
418,3,0,2
